Total time, 5873.79s, 100.00%
	,Train time, 5798.51s, 98.72%
	,	,Evaluation time, 5792.01s, 99.89%
	,	,Ask time, 5.45s, 0.09%
	,	,Tell time, 1.05s, 0.02%
	,Test time, 75.03s, 1.28%
	,Logging time, 0.15s, 0.00%
	,Writing time, 0.10s, 0.00%
Iter:0, train:69.47s, eval:99%, ask:0%, tell:0%
Iter:1, train:57.33s, eval:100%, ask:0%, tell:0%
Iter:2, train:57.53s, eval:100%, ask:0%, tell:0%
Iter:3, train:57.37s, eval:100%, ask:0%, tell:0%
Iter:4, train:57.15s, eval:100%, ask:0%, tell:0%
Iter:5, train:57.38s, eval:100%, ask:0%, tell:0%
Iter:6, train:57.94s, eval:100%, ask:0%, tell:0%
Iter:7, train:57.82s, eval:100%, ask:0%, tell:0%
Iter:8, train:57.02s, eval:100%, ask:0%, tell:0%
Iter:9, train:57.58s, eval:100%, ask:0%, tell:0%
Iter:10, train:57.44s, eval:100%, ask:0%, tell:0%
Iter:11, train:57.45s, eval:100%, ask:0%, tell:0%
Iter:12, train:57.34s, eval:100%, ask:0%, tell:0%
Iter:13, train:57.09s, eval:100%, ask:0%, tell:0%
Iter:14, train:57.35s, eval:100%, ask:0%, tell:0%
Iter:15, train:57.51s, eval:100%, ask:0%, tell:0%
Iter:16, train:57.57s, eval:100%, ask:0%, tell:0%
Iter:17, train:57.42s, eval:100%, ask:0%, tell:0%
Iter:18, train:57.20s, eval:100%, ask:0%, tell:0%
Iter:19, train:57.21s, eval:100%, ask:0%, tell:0%
Iter:20, train:57.66s, eval:100%, ask:0%, tell:0%
Iter:21, train:57.34s, eval:100%, ask:0%, tell:0%
Iter:22, train:57.37s, eval:100%, ask:0%, tell:0%
Iter:23, train:57.45s, eval:100%, ask:0%, tell:0%
Iter:24, train:57.55s, eval:100%, ask:0%, tell:0%
Iter:25, train:57.29s, eval:100%, ask:0%, tell:0%
Iter:26, train:57.36s, eval:100%, ask:0%, tell:0%
Iter:27, train:57.42s, eval:100%, ask:0%, tell:0%
Iter:28, train:57.67s, eval:100%, ask:0%, tell:0%
Iter:29, train:57.56s, eval:100%, ask:0%, tell:0%
Iter:30, train:57.39s, eval:100%, ask:0%, tell:0%
Iter:31, train:57.61s, eval:100%, ask:0%, tell:0%
Iter:32, train:57.49s, eval:100%, ask:0%, tell:0%
Iter:33, train:57.11s, eval:100%, ask:0%, tell:0%
Iter:34, train:57.30s, eval:100%, ask:0%, tell:0%
Iter:35, train:57.91s, eval:100%, ask:0%, tell:0%
Iter:36, train:58.44s, eval:100%, ask:0%, tell:0%
Iter:37, train:59.51s, eval:100%, ask:0%, tell:0%
Iter:38, train:57.77s, eval:100%, ask:0%, tell:0%
Iter:39, train:57.80s, eval:100%, ask:0%, tell:0%
Iter:40, train:57.20s, eval:100%, ask:0%, tell:0%
Iter:41, train:57.68s, eval:100%, ask:0%, tell:0%
Iter:42, train:57.56s, eval:100%, ask:0%, tell:0%
Iter:43, train:58.49s, eval:100%, ask:0%, tell:0%
Iter:44, train:57.68s, eval:100%, ask:0%, tell:0%
Iter:45, train:60.55s, eval:100%, ask:0%, tell:0%
Iter:46, train:57.70s, eval:100%, ask:0%, tell:0%
Iter:47, train:59.27s, eval:100%, ask:0%, tell:0%
Iter:48, train:58.05s, eval:100%, ask:0%, tell:0%
Iter:49, train:57.56s, eval:100%, ask:0%, tell:0%
Iter:50, train:57.50s, eval:100%, ask:0%, tell:0%
Iter:51, train:58.05s, eval:100%, ask:0%, tell:0%
Iter:52, train:57.80s, eval:100%, ask:0%, tell:0%
Iter:53, train:57.88s, eval:100%, ask:0%, tell:0%
Iter:54, train:58.03s, eval:100%, ask:0%, tell:0%
Iter:55, train:57.99s, eval:100%, ask:0%, tell:0%
Iter:56, train:57.90s, eval:100%, ask:0%, tell:0%
Iter:57, train:57.68s, eval:100%, ask:0%, tell:0%
Iter:58, train:57.47s, eval:100%, ask:0%, tell:0%
Iter:59, train:57.44s, eval:100%, ask:0%, tell:0%
Iter:60, train:57.43s, eval:100%, ask:0%, tell:0%
Iter:61, train:59.41s, eval:100%, ask:0%, tell:0%
Iter:62, train:61.11s, eval:100%, ask:0%, tell:0%
Iter:63, train:60.84s, eval:100%, ask:0%, tell:0%
Iter:64, train:61.41s, eval:100%, ask:0%, tell:0%
Iter:65, train:59.56s, eval:100%, ask:0%, tell:0%
Iter:66, train:58.07s, eval:100%, ask:0%, tell:0%
Iter:67, train:58.08s, eval:100%, ask:0%, tell:0%
Iter:68, train:57.79s, eval:100%, ask:0%, tell:0%
Iter:69, train:57.51s, eval:100%, ask:0%, tell:0%
Iter:70, train:57.67s, eval:100%, ask:0%, tell:0%
Iter:71, train:58.04s, eval:100%, ask:0%, tell:0%
Iter:72, train:57.92s, eval:100%, ask:0%, tell:0%
Iter:73, train:57.70s, eval:100%, ask:0%, tell:0%
Iter:74, train:57.83s, eval:100%, ask:0%, tell:0%
Iter:75, train:57.66s, eval:100%, ask:0%, tell:0%
Iter:76, train:58.05s, eval:100%, ask:0%, tell:0%
Iter:77, train:57.52s, eval:100%, ask:0%, tell:0%
Iter:78, train:57.68s, eval:100%, ask:0%, tell:0%
Iter:79, train:57.53s, eval:100%, ask:0%, tell:0%
Iter:80, train:57.62s, eval:100%, ask:0%, tell:0%
Iter:81, train:57.80s, eval:100%, ask:0%, tell:0%
Iter:82, train:57.64s, eval:100%, ask:0%, tell:0%
Iter:83, train:57.68s, eval:100%, ask:0%, tell:0%
Iter:84, train:57.97s, eval:100%, ask:0%, tell:0%
Iter:85, train:57.59s, eval:100%, ask:0%, tell:0%
Iter:86, train:58.07s, eval:100%, ask:0%, tell:0%
Iter:87, train:57.65s, eval:100%, ask:0%, tell:0%
Iter:88, train:57.93s, eval:100%, ask:0%, tell:0%
Iter:89, train:58.05s, eval:100%, ask:0%, tell:0%
Iter:90, train:57.88s, eval:100%, ask:0%, tell:0%
Iter:91, train:57.94s, eval:100%, ask:0%, tell:0%
Iter:92, train:57.74s, eval:100%, ask:0%, tell:0%
Iter:93, train:57.91s, eval:100%, ask:0%, tell:0%
Iter:94, train:57.77s, eval:100%, ask:0%, tell:0%
Iter:95, train:57.75s, eval:100%, ask:0%, tell:0%
Iter:96, train:58.05s, eval:100%, ask:0%, tell:0%
Iter:97, train:58.00s, eval:100%, ask:0%, tell:0%
Iter:98, train:58.12s, eval:100%, ask:0%, tell:0%
Iter:99, train:57.87s, eval:100%, ask:0%, tell:0%
Iter:25, test:27.23s
Iter:50, test:16.02s
Iter:75, test:15.91s
Iter:99, test:15.87s
Iter:0, logging:0.06s
Iter:25, logging:0.07s
Iter:25, writing:0.02s
Iter:50, writing:0.03s
Iter:75, writing:0.02s
Iter:99, writing:0.03s
