Total time, 1458.80s, 100.00%
	,Train time, 1389.53s, 95.25%
	,	,Evaluation time, 1388.57s, 99.93%
	,	,Ask time, 0.35s, 0.02%
	,	,Tell time, 0.61s, 0.04%
	,Test time, 68.43s, 4.69%
	,Logging time, 0.75s, 0.05%
	,Writing time, 0.09s, 0.01%
Iter:0, train:36.60s, eval:98%, ask:1%, tell:1%
Iter:1, train:16.51s, eval:100%, ask:0%, tell:0%
Iter:2, train:14.58s, eval:100%, ask:0%, tell:0%
Iter:3, train:9.18s, eval:100%, ask:0%, tell:0%
Iter:4, train:23.65s, eval:100%, ask:0%, tell:0%
Iter:5, train:10.62s, eval:100%, ask:0%, tell:0%
Iter:6, train:29.45s, eval:100%, ask:0%, tell:0%
Iter:7, train:30.38s, eval:100%, ask:0%, tell:0%
Iter:8, train:16.88s, eval:100%, ask:0%, tell:0%
Iter:9, train:13.11s, eval:100%, ask:0%, tell:0%
Iter:10, train:28.61s, eval:100%, ask:0%, tell:0%
Iter:11, train:13.47s, eval:100%, ask:0%, tell:0%
Iter:12, train:17.81s, eval:100%, ask:0%, tell:0%
Iter:13, train:10.16s, eval:100%, ask:0%, tell:0%
Iter:14, train:8.22s, eval:100%, ask:0%, tell:0%
Iter:15, train:8.48s, eval:100%, ask:0%, tell:0%
Iter:16, train:19.68s, eval:100%, ask:0%, tell:0%
Iter:17, train:15.69s, eval:100%, ask:0%, tell:0%
Iter:18, train:20.41s, eval:100%, ask:0%, tell:0%
Iter:19, train:15.51s, eval:100%, ask:0%, tell:0%
Iter:20, train:10.11s, eval:100%, ask:0%, tell:0%
Iter:21, train:8.49s, eval:100%, ask:0%, tell:0%
Iter:22, train:8.47s, eval:100%, ask:0%, tell:0%
Iter:23, train:13.91s, eval:100%, ask:0%, tell:0%
Iter:24, train:8.80s, eval:100%, ask:0%, tell:0%
Iter:25, train:14.39s, eval:100%, ask:0%, tell:0%
Iter:26, train:20.57s, eval:100%, ask:0%, tell:0%
Iter:27, train:11.39s, eval:100%, ask:0%, tell:0%
Iter:28, train:14.86s, eval:100%, ask:0%, tell:0%
Iter:29, train:14.86s, eval:100%, ask:0%, tell:0%
Iter:30, train:17.72s, eval:100%, ask:0%, tell:0%
Iter:31, train:26.80s, eval:100%, ask:0%, tell:0%
Iter:32, train:19.86s, eval:100%, ask:0%, tell:0%
Iter:33, train:13.62s, eval:100%, ask:0%, tell:0%
Iter:34, train:15.08s, eval:100%, ask:0%, tell:0%
Iter:35, train:15.65s, eval:100%, ask:0%, tell:0%
Iter:36, train:19.30s, eval:100%, ask:0%, tell:0%
Iter:37, train:11.94s, eval:100%, ask:0%, tell:0%
Iter:38, train:11.11s, eval:100%, ask:0%, tell:0%
Iter:39, train:10.92s, eval:100%, ask:0%, tell:0%
Iter:40, train:14.13s, eval:100%, ask:0%, tell:0%
Iter:41, train:9.63s, eval:100%, ask:0%, tell:0%
Iter:42, train:8.48s, eval:100%, ask:0%, tell:0%
Iter:43, train:9.12s, eval:100%, ask:0%, tell:0%
Iter:44, train:10.80s, eval:100%, ask:0%, tell:0%
Iter:45, train:18.72s, eval:100%, ask:0%, tell:0%
Iter:46, train:15.01s, eval:100%, ask:0%, tell:0%
Iter:47, train:10.53s, eval:100%, ask:0%, tell:0%
Iter:48, train:12.26s, eval:100%, ask:0%, tell:0%
Iter:49, train:20.37s, eval:100%, ask:0%, tell:0%
Iter:50, train:8.47s, eval:100%, ask:0%, tell:0%
Iter:51, train:28.46s, eval:100%, ask:0%, tell:0%
Iter:52, train:10.39s, eval:100%, ask:0%, tell:0%
Iter:53, train:10.23s, eval:100%, ask:0%, tell:0%
Iter:54, train:9.60s, eval:100%, ask:0%, tell:0%
Iter:55, train:16.50s, eval:100%, ask:0%, tell:0%
Iter:56, train:9.79s, eval:100%, ask:0%, tell:0%
Iter:57, train:10.11s, eval:100%, ask:0%, tell:0%
Iter:58, train:9.77s, eval:100%, ask:0%, tell:0%
Iter:59, train:20.70s, eval:100%, ask:0%, tell:0%
Iter:60, train:13.71s, eval:100%, ask:0%, tell:0%
Iter:61, train:13.43s, eval:100%, ask:0%, tell:0%
Iter:62, train:8.69s, eval:100%, ask:0%, tell:0%
Iter:63, train:9.64s, eval:100%, ask:0%, tell:0%
Iter:64, train:14.05s, eval:100%, ask:0%, tell:0%
Iter:65, train:10.71s, eval:100%, ask:0%, tell:0%
Iter:66, train:10.15s, eval:100%, ask:0%, tell:0%
Iter:67, train:20.34s, eval:100%, ask:0%, tell:0%
Iter:68, train:12.77s, eval:100%, ask:0%, tell:0%
Iter:69, train:9.93s, eval:100%, ask:0%, tell:0%
Iter:70, train:13.63s, eval:100%, ask:0%, tell:0%
Iter:71, train:16.56s, eval:100%, ask:0%, tell:0%
Iter:72, train:23.15s, eval:100%, ask:0%, tell:0%
Iter:73, train:10.10s, eval:100%, ask:0%, tell:0%
Iter:74, train:8.51s, eval:100%, ask:0%, tell:0%
Iter:75, train:8.24s, eval:100%, ask:0%, tell:0%
Iter:76, train:13.15s, eval:100%, ask:0%, tell:0%
Iter:77, train:23.36s, eval:100%, ask:0%, tell:0%
Iter:78, train:19.45s, eval:100%, ask:0%, tell:0%
Iter:79, train:15.20s, eval:100%, ask:0%, tell:0%
Iter:80, train:8.35s, eval:100%, ask:0%, tell:0%
Iter:81, train:8.71s, eval:100%, ask:0%, tell:0%
Iter:82, train:17.65s, eval:100%, ask:0%, tell:0%
Iter:83, train:8.87s, eval:100%, ask:0%, tell:0%
Iter:84, train:9.27s, eval:100%, ask:0%, tell:0%
Iter:85, train:8.91s, eval:100%, ask:0%, tell:0%
Iter:86, train:12.27s, eval:100%, ask:0%, tell:0%
Iter:87, train:9.56s, eval:100%, ask:0%, tell:0%
Iter:88, train:12.25s, eval:100%, ask:0%, tell:0%
Iter:89, train:8.81s, eval:100%, ask:0%, tell:0%
Iter:90, train:8.76s, eval:100%, ask:0%, tell:0%
Iter:91, train:17.60s, eval:100%, ask:0%, tell:0%
Iter:92, train:9.89s, eval:100%, ask:0%, tell:0%
Iter:93, train:8.58s, eval:100%, ask:0%, tell:0%
Iter:94, train:8.95s, eval:100%, ask:0%, tell:0%
Iter:95, train:8.54s, eval:100%, ask:0%, tell:0%
Iter:96, train:8.65s, eval:100%, ask:0%, tell:0%
Iter:97, train:8.65s, eval:100%, ask:0%, tell:0%
Iter:98, train:8.66s, eval:100%, ask:0%, tell:0%
Iter:99, train:11.94s, eval:100%, ask:0%, tell:0%
Iter:25, test:26.10s
Iter:50, test:13.61s
Iter:75, test:9.82s
Iter:99, test:18.89s
Iter:0, logging:0.27s
Iter:1, logging:0.00s
Iter:2, logging:0.00s
Iter:3, logging:0.00s
Iter:4, logging:0.00s
Iter:5, logging:0.00s
Iter:6, logging:0.00s
Iter:7, logging:0.00s
Iter:8, logging:0.00s
Iter:9, logging:0.00s
Iter:10, logging:0.00s
Iter:11, logging:0.00s
Iter:12, logging:0.00s
Iter:13, logging:0.00s
Iter:14, logging:0.00s
Iter:15, logging:0.00s
Iter:16, logging:0.00s
Iter:17, logging:0.00s
Iter:18, logging:0.00s
Iter:19, logging:0.00s
Iter:20, logging:0.00s
Iter:21, logging:0.00s
Iter:22, logging:0.00s
Iter:23, logging:0.00s
Iter:24, logging:0.00s
Iter:25, logging:0.00s
Iter:25, logging:0.28s
Iter:26, logging:0.00s
Iter:27, logging:0.00s
Iter:28, logging:0.00s
Iter:29, logging:0.00s
Iter:30, logging:0.00s
Iter:31, logging:0.00s
Iter:32, logging:0.00s
Iter:33, logging:0.00s
Iter:34, logging:0.00s
Iter:35, logging:0.00s
Iter:36, logging:0.00s
Iter:37, logging:0.00s
Iter:38, logging:0.00s
Iter:39, logging:0.00s
Iter:40, logging:0.00s
Iter:41, logging:0.00s
Iter:42, logging:0.00s
Iter:43, logging:0.00s
Iter:44, logging:0.00s
Iter:45, logging:0.00s
Iter:46, logging:0.00s
Iter:47, logging:0.00s
Iter:48, logging:0.00s
Iter:49, logging:0.00s
Iter:50, logging:0.00s
Iter:50, logging:0.00s
Iter:51, logging:0.00s
Iter:52, logging:0.00s
Iter:53, logging:0.00s
Iter:54, logging:0.00s
Iter:55, logging:0.00s
Iter:56, logging:0.00s
Iter:57, logging:0.00s
Iter:58, logging:0.00s
Iter:59, logging:0.00s
Iter:60, logging:0.00s
Iter:61, logging:0.00s
Iter:62, logging:0.00s
Iter:63, logging:0.00s
Iter:64, logging:0.00s
Iter:65, logging:0.00s
Iter:66, logging:0.00s
Iter:67, logging:0.00s
Iter:68, logging:0.00s
Iter:69, logging:0.00s
Iter:70, logging:0.00s
Iter:71, logging:0.00s
Iter:72, logging:0.00s
Iter:73, logging:0.00s
Iter:74, logging:0.00s
Iter:75, logging:0.00s
Iter:75, logging:0.00s
Iter:76, logging:0.00s
Iter:77, logging:0.00s
Iter:78, logging:0.00s
Iter:79, logging:0.00s
Iter:80, logging:0.00s
Iter:81, logging:0.00s
Iter:82, logging:0.00s
Iter:83, logging:0.00s
Iter:84, logging:0.00s
Iter:85, logging:0.00s
Iter:86, logging:0.00s
Iter:87, logging:0.00s
Iter:88, logging:0.00s
Iter:89, logging:0.00s
Iter:90, logging:0.00s
Iter:91, logging:0.00s
Iter:92, logging:0.00s
Iter:93, logging:0.00s
Iter:94, logging:0.00s
Iter:95, logging:0.00s
Iter:96, logging:0.00s
Iter:97, logging:0.00s
Iter:98, logging:0.00s
Iter:99, logging:0.00s
Iter:99, logging:0.00s
Iter:25, writing:0.02s
Iter:50, writing:0.02s
Iter:75, writing:0.02s
Iter:99, writing:0.02s
